"table","distribution","heterogeneity","test","log_time_shift","task_id","paper_value","paper_printed_value","paper_n_sim","paper_page","z_low","z_high","n_sim","treatment_time_multiplier","empirical_rejection","monte_carlo_se","mean_z","sd_z","mean_completed_events","generator_version","input_file","available","variance_method","design_eligible","estimate","local_mc_se","paper_mc_se","difference","combined_mc_se","comparison_margin","comparison","rejection_ci_low","rejection_ci_high","nominal_p","nominal_p_holm"
"table1","exponential","medium","logrank",0,1,1.007,1.007,100000,93,0.1,1.9,100000,1,0.02784,0.000520239698600559,-0.00226349165435296,1.02240008229007,2.69649795,"legacy_unversioned","zhao-2020-table-simulations-task-001-of-120.rds",TRUE,"pooled_risk",TRUE,1.02240008229007,0.00228616751506812,0.002251731712029,0.0154000822900657,0.00320887170356027,0.00678927296998781,"discrepant",0.026838344348523,0.0288779299219515,,
"table1","weibull","medium","logrank",0,2,1.015,1.015,100000,93,0.1,1.9,100000,1,0.02867,0.000527712337358148,0.000551719218592048,1.03057554543105,2.7021614,"legacy_unversioned","zhao-2020-table-simulations-task-002-of-120.rds",TRUE,"pooled_risk",TRUE,1.03057554543105,0.00230444849780405,0.00226962034529238,0.0155755454310507,0.00323444885425577,0.00683940326417815,"discrepant",0.0276536694863329,0.0297225410183746,,
"table1","lognormal","medium","logrank",0,3,1.009,1.009,100000,93,0.1,1.9,100000,1,0.02703,0.000512829202561633,0.00587039978242513,1.02384026205189,2.04155765,"legacy_unversioned","zhao-2020-table-simulations-task-003-of-120.rds",TRUE,"pooled_risk",TRUE,1.02384026205189,0.00228938787101719,0.00225620387034484,0.0148402620518864,0.00321430439263609,0.00679992084491563,"discrepant",0.0260428965972514,0.0280534399024654,,
"table1","loglogistic","medium","logrank",0,4,1.009,1.009,100000,93,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.00225620387034484,,,,"missing",,,,
"table1","exponential","medium","peto_prentice",0,5,1.005,1.005,100000,93,0.1,1.9,100000,1,0.02509,0.000494575493731746,-0.00133277964456702,1.00096593926061,2.6974177,"legacy_unversioned","zhao-2020-table-simulations-task-005-of-120.rds",TRUE,"pooled_risk",TRUE,1.00096593926061,0.002238239074572,0.00224725955371315,-0.00403406073939228,0.00317173291068083,0.00671648227351483,"compatible",0.0241387395851773,0.0260777459574163,,
"table1","weibull","medium","peto_prentice",0,6,1.007,1.007,100000,93,0.1,1.9,100000,1,0.0258,0.000501341799573903,-0.0086939565398125,1.0050716267289,2.70238195,"legacy_unversioned","zhao-2020-table-simulations-task-006-of-120.rds",TRUE,"pooled_risk",TRUE,1.0050716267289,0.0022474197167488,0.002251731712029,-0.00192837327109729,0.00318138194597698,0.00673539403518083,"compatible",0.0248354536729501,0.0268009773230236,,
"table1","lognormal","medium","peto_prentice",0,7,1.006,1.006,100000,93,0.1,1.9,100000,1,0.02561,0.00049954106838177,0.0033741810220795,1.00458507347516,2.04170585,"legacy_unversioned","zhao-2020-table-simulations-task-007-of-120.rds",TRUE,"pooled_risk",TRUE,1.00458507347516,0.00224633174515888,0.00224949563287107,-0.00141492652484065,0.0031790308132534,0.00673078589971974,"compatible",0.0246489895276675,0.026607456065289,,
"table1","loglogistic","medium","peto_prentice",0,8,0.997,0.997,100000,93,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.00222937092044976,,,,"missing",,,,
"table1","exponential","medium","gehan_breslow",0,9,1.004,1.004,100000,93,0.1,1.9,100000,1,0.02646,0.000507541805174707,7.99180282989425e-05,1.00915818435505,2.6965105,"legacy_unversioned","zhao-2020-table-simulations-task-009-of-120.rds",TRUE,"pooled_risk",TRUE,1.00915818435505,0.00225655758308427,0.00224502347455522,0.00515818435504722,0.00318310894049813,0.00673877888224379,"compatible",0.0254832792918584,0.0274731009988067,,
"table1","weibull","medium","gehan_breslow",0,10,1.003,1.003,100000,93,0.1,1.9,100000,1,0.02558,0.000499256082586882,0.000594767044224655,1.00349193021599,2.70267885,"legacy_unversioned","zhao-2020-table-simulations-task-010-of-120.rds",TRUE,"pooled_risk",TRUE,1.00349193021599,0.00224388739030044,0.0022427873953973,0.000491930215993364,0.00317255826129361,0.00671809993099048,"compatible",0.0246195491129909,0.0265768987847524,,
"table1","lognormal","medium","gehan_breslow",0,11,1.003,1.003,100000,93,0.1,1.9,100000,1,0.02565,0.000499920768722405,-0.00625834474137907,1.00202501102439,2.0420655,"legacy_unversioned","zhao-2020-table-simulations-task-011-of-120.rds",TRUE,"pooled_risk",TRUE,1.00202501102439,0.00224060724286973,0.0022427873953973,-0.000974988975611879,0.00317023912627317,0.00671355450987515,"compatible",0.0246882439637852,0.0266481985561223,,
"table1","loglogistic","medium","gehan_breslow",0,12,0.998,0.998,100000,93,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.00223160699960768,,,,"missing",,,,
