"Heterogeneity","Distribution","LR Zhao","LR local (MCSE)","PP Zhao","PP local (MCSE)","GB Zhao","GB local (MCSE)"
"low","exponential","0.027","0.0280 (0.0005)","0.026","0.0262 (0.0005)","0.026","Pending"
"low","weibull","0.029","0.0301 (0.0005)","0.026","0.0259 (0.0005)","0.025","0.0254 (0.0005)"
"low","lognormal","0.027","0.0301 (0.0005) *","0.025","0.0265 (0.0005)","0.026","0.0250 (0.0005)"
"low","loglogistic","0.026","Pending","0.026","Pending","0.025","Pending"
"medium","exponential","0.026","0.0284 (0.0005) *","0.025","0.0255 (0.0005)","0.026","0.0258 (0.0005)"
"medium","weibull","0.027","0.0285 (0.0005)","0.026","0.0259 (0.0005)","0.025","0.0263 (0.0005)"
"medium","lognormal","0.025","0.0277 (0.0005) *","0.025","0.0251 (0.0005)","0.025","0.0257 (0.0005)"
"medium","loglogistic","0.026","0.0275 (0.0005)","0.025","Pending","0.025","Pending"
"high","exponential","0.026","Pending","0.026","Pending","0.025","0.0249 (0.0005)"
"high","weibull","0.025","0.0282 (0.0005) *","0.025","0.0256 (0.0005)","0.024","0.0251 (0.0005)"
"high","lognormal","0.026","0.0277 (0.0005)","0.026","0.0248 (0.0005)","0.025","0.0253 (0.0005)"
"high","loglogistic","0.025","Pending","0.025","Pending","0.024","0.0250 (0.0005)"
